Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,N,2017-08-30T08:58:42.90Z,12673,7115,-0.498769923668488,-0.503428467242794,-0.37475826325675,-0.578207403786848,-0.219828903673273,-0.203943896807225,-0.600897793628566,0,0,0,0,0,0,0,2.48588611298729,0.672913684913143,0,1.54925195975435,0.677596710833746,1.29744565037096
Negative,Negative,N,2017-08-30T09:58:42.90Z,12673,7115,-0.503880347582181,-0.510741438905808,-0.418607314233091,-0.5880742649666,-0.236686315697784,-0.203896071473418,-0.608398032145771,0,0,0,0,0,0,0,2.53564318584813,0.753170639891414,0,1.69720638783275,0.625161765547132,1.21967302333806
Negative,Negative,N,2017-08-30T10:58:42.90Z,12673,7115,-0.488118304498524,-0.504173055749305,-0.449640208326715,-0.571011165436754,-0.257856350118972,-0.208522493848542,-0.613703244144424,0,0,0,0,0,0,0,2.2897171082459,0.739212908590845,0,1.58537845717638,0.61792581168482,1.04779426339821
Negative,Negative,N,2017-08-30T11:58:42.80Z,12673,7115,-0.48133166154114,-0.500172196834014,-0.444952273810115,-0.574907004240557,-0.264886823088554,-0.20342324750051,-0.607500207042762,0,0,0,0,0,0,0,2.31686662129837,0.685708271938665,0,1.58759531042727,0.618680271329232,1.00108575659949
Negative,Negative,N,2017-08-30T12:58:42.80Z,12673,7115,-0.473879915608062,-0.501714265753124,-0.419138512474487,-0.567325354858254,-0.230829460021047,-0.203109115157295,-0.610973393397627,0,0,0,0,0,0,0,2.33865902264855,0.65662966506248,0,1.58307949824952,0.61339905381835,1.18600816682979
Negative,Negative,N,2017-08-30T13:58:42.70Z,12673,7115,-0.486252625836569,-0.506414665102531,-0.450422933022475,-0.574972958851875,-0.263999590876738,-0.205638294425479,-0.606422676418818,0,0,0,0,0,0,0,2.38226875374211,0.664190102850288,0,1.63029026192604,0.628042429643977,1.03089705792898
Negative,Negative,N,2017-08-30T14:58:42.70Z,12673,7115,-0.506658423879459,-0.505605095111398,-0.501519287394177,-0.584034301222267,-0.268081982129842,-0.200805924835051,-0.600343778107619,0,0,0,0,0,0,0,2.44817693256815,0.675821545600762,0,1.68998108834834,0.619400437353443,1.01052255642395
Negative,Negative,N,2017-08-30T15:58:42.70Z,12673,7115,-0.512088934832428,-0.509642006876961,-0.497041679355605,-0.590535064877138,-0.298747647374963,-0.201976589803416,-0.607312017210086,0,0,0,0,0,0,0,2.66682885515183,0.750262779203796,0,1.64654718576595,0.6295170553126,0.895344533270741
Negative,Negative,N,2017-08-30T16:58:42.60Z,12673,7115,-0.519415039123921,-0.505968502085196,-0.488831206746035,-0.589473991196374,-0.301094881960655,-0.188214456204082,-0.601840315605993,0,0,0,0,0,0,0,2.73691752552033,0.782249246767599,0,1.70254325677009,0.617239939280809,0.859194712532363
Negative,Negative,N,2017-08-30T17:58:42.60Z,12673,7115,-0.508175097981454,-0.498991879767831,-0.414189619822895,-0.563375315222114,-0.240122936670136,-0.184770931626223,-0.613847742321699,0,0,0,0,0,0,0,2.34231103225482,0.79969641089331,0,1.74195398123049,0.535175306140936,1.07404419613614
Negative,Negative,N,2017-08-30T19:10:42.60Z,12673,7115,-0.500714377645405,-0.497623526578374,-0.327818285858133,-0.55899428658112,-0.184395769138076,-0.174363810546876,-0.608139274621897,0,0,0,0,0,0,0,2.33762948000869,0.749099634928748,0,1.7738930891786,0.53610123388635,1.30774384933231
Negative,Negative,N,2017-08-30T19:58:42.60Z,12673,7115,-0.516286961110798,-0.503445090413278,-0.364062288295759,-0.572798304434022,-0.204111416579134,-0.17472050643174,-0.602518632792497,0,0,0,0,0,0,0,2.56389702672011,0.745028629966082,0,1.79671846709525,0.54320001326786,1.28895156576192
