Predicted Label,Label,flare,timestamp,NOAA,HARP,TOTUSJH,TOTUSJZ,TOTPOT,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,AREA_ACR,SAVNCPP,ABSNJZH,Edec,Xmax1d,Mhis,R_VALUE,Mdec,MEANPOT,Mhis1d,TOTFX,TOTFZ,MEANSHR,SHRGT45
Negative,Negative,C1.0,2015-04-04T05:34:17.60Z,12320,5415,-0.104047760666066,-0.301538498066563,-0.137915513836708,-0.364580546296148,-0.331677117746662,0,0,0,-0.742761599872851,0.114149445849932,-0.338411710005935,0,0,0,-0.841945640821739,0,0.687452988351236,0,2.42050137028539,-2.97586988449347,0.265216593130253,-0.868103351835196
Negative,Negative,C1.0,2015-04-04T06:34:17.60Z,12320,5415,-0.078954332804978,-0.175091061701495,-0.094343895864605,-0.356320437504331,-0.305178345089936,0,0,0,-0.750495384584448,0.139392917600114,-0.238162526308981,0,0,0,-0.792015225405496,0,0.43214281997833,0,2.1822635907523,-2.80778498148445,0.416877970767643,-0.747161691147356
Negative,Negative,C1.0,2015-04-04T07:34:17.60Z,12320,5415,-0.04378165325226,-0.338201403832063,-0.018729115366458,-0.349030408801529,-0.283668199668627,0,0,0,-0.790608409961485,0.227425198627032,-0.095511201269712,0,0,0,-0.798980826568503,0,0.328622979499111,0,2.1374761227704,-3.09140608553675,0.181018617655464,-0.744944837896459
Negative,Negative,C1.0,2015-04-04T08:34:17.60Z,12320,5415,0.018644293809753,-0.306687814131345,0.096848000405039,-0.326072941505074,-0.272632869099023,0,0,0,-0.763753550516833,0.288448065896443,-0.24252370549001,0,0,0,-0.690921544809645,0,0.662445386437717,0,2.27132412241308,-3.28710819449691,0.205121254624954,-0.646910660801224
Negative,Negative,C1.0,2015-04-04T09:34:17.60Z,12320,5415,0.05524689490242,-0.372511459618126,0.116056446895102,-0.300239988581486,-0.233128115426248,0,0,0,-0.670743471869359,0.27082102862284,-0.351588666100016,0,0,0,-0.600492014666892,0,0.732234042940561,0,2.51278550224503,-3.21839455913959,-0.018207152963059,-0.580569274626223
Negative,Negative,C1.0,2015-04-04T10:34:17.60Z,12320,5415,0.035291811319821,-0.35598535582461,0.06245972800263,-0.29567332273767,-0.177110329524526,0,0,0,-0.627312477355159,0.23435367851559,-0.438489282028206,0,0,0,-0.547232904889566,0,0.90961354488529,0,2.67934961555901,-2.94450281938566,0.165669174155395,-0.557579685357659
Negative,Negative,C1.0,2015-04-04T11:34:17.50Z,12320,5415,0.040368331933403,-0.37250584422438,0.037435470611035,-0.290838875242059,-0.145387453375803,0,0,0,-0.592064477198324,0.215687513182258,-0.27596889412827,0,0,0,-0.556479278114796,0,0.939273723898999,0,2.7430328682714,-2.7576686205933,-0.026604760868772,-0.581390331385815
Negative,Negative,C1.0,2015-04-04T12:34:17.50Z,12320,5415,0.114592627433818,-0.429687398736569,0.110038922668684,-0.264935105969253,-0.063009618332189,0,0,0,-0.581777277169524,0.304594129799599,-0.434082681070941,0,0,0,-0.456371877329636,0,0.971260191462803,0,2.77492593505789,-2.68692803434048,0.076873394647542,-0.51652684737808
Negative,Negative,C1.0,2015-04-04T13:34:17.50Z,12320,5415,0.173004024900411,-0.365239524717479,0.166121899438397,-0.241608106696239,-0.028392024001362,0,0,0,-0.553061513171233,0.374931729482544,-0.470110203981748,0,0,0,-0.443920094719659,0,1.0177859624647,0,2.79502199649541,-2.76395216836934,0.144747511918612,-0.529499544179627
Negative,Negative,C1.0,2015-04-04T14:34:17.50Z,12320,5415,0.271282711829121,-0.326936923978242,0.288429465157099,-0.193560068374686,0.018250946209626,0,0,0,-0.498465589903068,0.46961399832107,-0.361270810247993,0,0,0,-0.395160886578611,0,1.10734807164335,0,2.83905500483289,-3.03794525566804,0.174950233015902,-0.464307637468055
